=== TOKENS ENCONTRADOS ===

Token                     Lexema               Linea
-----                     ------               -----
EMPTY                     empty                3
SEPARADOR                 ~                    3
PALABRA_MAIN              __main__             3
SEPARADOR                 ~                    3
INICIO_PARENTESIS         <|                   3
FIN_PARENTESIS            |>                   3
INICIO_BLOQUE             |:                   4
INT                       int                  6
SEPARADOR                 ~                    6
IDENTIFICADOR             x                    6
ASIGNACION                <-                   6
NUMERO_ENTERO             10                   6
DELIMITADOR_EXP           !                    6
OPERADOR_LOGICO_UNARIO    $                    6
MODULO                    %                    6
INT                       int                  9
IDENTIFICADOR             y                    9
ASIGNACION                <-                   9
NUMERO_ENTERO             20                   9
DELIMITADOR_EXP           !                    9
INT                       int                  12
SEPARADOR                 ~                    12
IDENTIFICADOR             z                    12
ASIGNACION                <-                   12
NUMERO_ENTERO             30                   12
IDENTIFICADOR             w                    15
ASIGNACION                <-                   15
IDENTIFICADOR             x                    15
MAS                       +                    15
IDENTIFICADOR             y                    15
DELIMITADOR_EXP           !                    15
FLOAT                     float                18
SEPARADOR                 ~                    18
IDENTIFICADOR             precio               18
ASIGNACION                <-                   18
NUMERO_ENTERO             100                  18
DELIMITADOR_EXP           !                    18
INT                       int                  21
SEPARADOR                 ~                    21
IDENTIFICADOR             a                    21
ASIGNACION                <-                   21
NUMERO_ENTERO             5                    21
DELIMITADOR_EXP           !                    21
INT                       int                  22
SEPARADOR                 ~                    22
IDENTIFICADOR             b                    22
ASIGNACION                <-                   22
NUMERO_ENTERO             10                   22
DELIMITADOR_EXP           !                    22
INT                       int                  23
SEPARADOR                 ~                    23
IDENTIFICADOR             c                    23
ASIGNACION                <-                   23
IDENTIFICADOR             a                    23
MAS                       +                    23
IDENTIFICADOR             b                    23
DELIMITADOR_EXP           !                    23
COUT                      cout                 24
SEPARADOR                 ~                    24
IDENTIFICADOR             c                    24
DELIMITADOR_EXP           !                    24
FIN_BLOQUE                :|                   25

=== FIN DEL ANALISIS ===
