=== TOKENS ENCONTRADOS ===

Token                     Lexema               Linea
-----                     ------               -----
INT                       int                  2
SEPARADOR                 ~                    2
IDENTIFICADOR             sumaArreglo          2
INICIO_PARENTESIS         <|                   2
INT                       int                  2
SEPARADOR                 ~                    2
IDENTIFICADOR             arr                  2
INICIO_INDICE             <<                   2
NUMERO_ENTERO             2                    2
FIN_INDICE                >>                   2
INICIO_INDICE             <<                   2
NUMERO_ENTERO             2                    2
FIN_INDICE                >>                   2
COMA                      ,                    2
INT                       int                  2
SEPARADOR                 ~                    2
IDENTIFICADOR             n                    2
FIN_PARENTESIS            |>                   2
INICIO_BLOQUE             |:                   2
INT                       int                  3
SEPARADOR                 ~                    3
IDENTIFICADOR             total                3
ASIGNACION                <-                   3
NUMERO_ENTERO             0                    3
DELIMITADOR_EXP           !                    3
RETURN                    return               4
SEPARADOR                 ~                    4
IDENTIFICADOR             total                4
DELIMITADOR_EXP           !                    4
FIN_BLOQUE                :|                   5
INT                       int                  8
SEPARADOR                 ~                    8
IDENTIFICADOR             esParHelper          8
INICIO_PARENTESIS         <|                   8
INT                       int                  8
SEPARADOR                 ~                    8
IDENTIFICADOR             n                    8
FIN_PARENTESIS            |>                   8
INICIO_BLOQUE             |:                   8
RETURN                    return               9
SEPARADOR                 ~                    9
IDENTIFICADOR             n                    9
MODULO                    %                    9
NUMERO_ENTERO             2                    9
DELIMITADOR_EXP           !                    9
FIN_BLOQUE                :|                   10
BOOL                      bool                 12
SEPARADOR                 ~                    12
IDENTIFICADOR             esPar                12
INICIO_PARENTESIS         <|                   12
INT                       int                  12
SEPARADOR                 ~                    12
IDENTIFICADOR             n                    12
FIN_PARENTESIS            |>                   12
INICIO_BLOQUE             |:                   12
RETURN                    return               13
SEPARADOR                 ~                    13
EQUAL                     equal                13
INICIO_PARENTESIS         <|                   13
IDENTIFICADOR             esParHelper          13
INICIO_PARENTESIS         <|                   13
IDENTIFICADOR             n                    13
FIN_PARENTESIS            |>                   13
COMA                      ,                    13
NUMERO_ENTERO             0                    13
FIN_PARENTESIS            |>                   13
DELIMITADOR_EXP           !                    13
FIN_BLOQUE                :|                   14
BOOL                      bool                 16
SEPARADOR                 ~                    16
IDENTIFICADOR             esImpar              16
INICIO_PARENTESIS         <|                   16
